site,habitat,lat,lon,plot,treatment,species,survival23,dead23,height23,rhizome23,leaflength23,taproot23,survival24,dead24,height24,ramets24,leaflength24,numleaves24,numflower24,flower24,biomass_a24,biomass_b24,biomass24,notes24
1,T,58.74666667,-93.84277778,1,5,Lvul,1,0,28.1,9.6,,,1,0,3.4,4,,,,0,0.0683,0.1149,0.1832,
1,T,58.74666667,-93.84277778,1,5,Pmaj,1,0,,,7,,1,0,,,6.2,2,,0,0.0887,0.0855,0.1742,
1,T,58.74666667,-93.84277778,1,5,Toff,1,0,,,10.1,3.1,1,0,,,5.6,4,,0,0.0768,0.2238,0.3006,
1,T,58.74666667,-93.84277778,2,20,Lvul,1,0,27.5,9,,,1,0,20.2,6,,,7,1,8.2421,0.7305,8.9726,
1,T,58.74666667,-93.84277778,2,20,Pmaj,1,0,,,6.8,,1,0,,,4.2,4,,0,0.4957,0.3098,0.8055,
1,T,58.74666667,-93.84277778,2,20,Toff,1,0,,,10.8,3.4,1,0,,,6.9,5,1,1,0.2322,0.4196,0.6518,
1,T,58.74666667,-93.84277778,3,0,Lvul,1,0,26.3,10,,,1,0,1.8,2,,,,0,0.0202,0.0708,0.091,
1,T,58.74666667,-93.84277778,3,0,Pmaj,1,0,,,6.5,,1,0,,,6.4,2,,0,0.1057,0.1077,0.2134,
1,T,58.74666667,-93.84277778,3,0,Toff,1,0,,,11.9,3.5,1,0,,,4.2,3,,0,0.0434,0.1483,0.1917,
2,T,58.74194444,-93.82527778,1,5,Lvul,1,0,37.2,6,,,0,1,,,,,,0,,,,
2,T,58.74194444,-93.82527778,1,5,Pmaj,1,0,,,7.2,,0,1,,,,,,0,,,,
2,T,58.74194444,-93.82527778,1,5,Toff,1,0,,,8.3,3,0,1,,,,,,0,,,,
2,T,58.74194444,-93.82527778,2,0,Lvul,1,0,30.6,0.7,,,0,1,,,,,,0,,,,
2,T,58.74194444,-93.82527778,2,0,Pmaj,1,0,,,5.5,,0,1,,,,,,0,,,,
2,T,58.74194444,-93.82527778,2,0,Toff,1,0,,,9.2,3.1,0,1,,,,,,0,,,,
2,T,58.74194444,-93.82527778,3,20,Lvul,1,0,23.7,2,,,1,0,11.3,11,,,,0,0.723,0.4624,1.1854,
2,T,58.74194444,-93.82527778,3,20,Pmaj,1,0,,,4.5,,1,0,,,7.8,3,,0,0.1008,0.1049,0.2057,
2,T,58.74194444,-93.82527778,3,20,Toff,1,0,,,10.3,4.7,1,0,,,5.3,6,,0,NA,NA,NA,missing
3,T,58.73194444,-93.81638889,1,0,Lvul,1,0,38,9.3,,,1,0,9.3,3,,,,0,0.1317,0.2763,0.408,
3,T,58.73194444,-93.81638889,1,0,Pmaj,1,0,,,7.7,,1,0,,,4.1,4,,0,0.0768,0.1016,0.1784,
3,T,58.73194444,-93.81638889,1,0,Toff,1,0,,,10,4.6,1,0,,,2.6,2,,0,0.263,0.0633,0.3263,
3,T,58.73194444,-93.81638889,2,20,Lvul,1,0,29.9,5.8,,,1,0,7.3,4,,,,0,0.0971,0.1313,0.2284,
3,T,58.73194444,-93.81638889,2,20,Pmaj,1,0,,,9.3,,1,0,,,6.2,4,,0,0.1515,0.1376,0.2891,
3,T,58.73194444,-93.81638889,2,20,Toff,1,0,,,6.6,3,1,0,,,6.7,5,2,1,0.3958,0.3384,0.7342,
3,T,58.73194444,-93.81638889,3,5,Lvul,1,0,32.5,2,,,1,0,9.3,3,,,,0,0.0641,0.2026,0.2667,
3,T,58.73194444,-93.81638889,3,5,Pmaj,1,0,,,7.6,,1,0,,,3.8,4,,0,0.0333,0.0465,0.0798,
3,T,58.73194444,-93.81638889,3,5,Toff,1,0,,,8,9,1,0,,,5.7,10,,0,0.1929,0.4217,0.6146,
4,T,58.73166667,-93.81388889,1,5,Lvul,1,0,26.9,6.7,,,1,0,8.5,11,,,,0,0.413,0.3133,0.7263,
4,T,58.73166667,-93.81388889,1,5,Pmaj,1,0,,,6.9,,1,0,,,10.1,5,,0,0.3623,0.2928,0.6551,
4,T,58.73166667,-93.81388889,1,5,Toff,1,0,,,9.2,4.9,0,1,,,,,,0,,,,
4,T,58.73166667,-93.81388889,2,20,Lvul,1,0,21,4.7,,,1,0,32,18,,,16,1,3.5335,1.0446,4.5781,
4,T,58.73166667,-93.81388889,2,20,Pmaj,1,0,,,6.4,,1,0,,,8,4,1,1,0.2284,0.1495,0.3779,
4,T,58.73166667,-93.81388889,2,20,Toff,1,0,,,10.1,9.3,0,1,,,,,,0,,,,
4,T,58.73166667,-93.81388889,3,0,Lvul,1,0,16.4,4.7,,,0,1,,,,,,0,,,,
4,T,58.73166667,-93.81388889,3,0,Pmaj,1,0,,,6.9,,1,0,,,4.8,4,,0,0.0548,0.0766,0.1314,
4,T,58.73166667,-93.81388889,3,0,Toff,1,0,,,10.2,4.1,0,1,,,,,,0,,,,
5,T,58.73333333,-93.80472222,1,5,Lvul,1,0,31.4,7,,,1,0,12.1,11,,,4,1,0.4452,0.5276,0.9728,
5,T,58.73333333,-93.80472222,1,5,Pmaj,1,0,,,9.8,,1,0,,,6.9,4,1,1,0.1254,0.1308,0.2562,
5,T,58.73333333,-93.80472222,1,5,Toff,1,0,,,7.8,3,1,0,,,2,2,,0,0.0055,0.0454,0.0509,
5,T,58.73333333,-93.80472222,2,0,Lvul,1,0,23.2,9,,,1,0,3.8,2,,,,0,0.05,0.137,0.187,
5,T,58.73333333,-93.80472222,2,0,Pmaj,1,0,,,7.5,,1,0,,,5.1,3,,0,0.0645,0.1247,0.1892,
5,T,58.73333333,-93.80472222,2,0,Toff,1,0,,,11.7,4.7,1,0,,,4.7,9,,0,0.0751,0.3575,0.4326,
5,T,58.73333333,-93.80472222,3,20,Lvul,1,0,21.6,3.3,,,1,0,22.3,6,,,8,1,0.9065,0.3438,1.2503,
5,T,58.73333333,-93.80472222,3,20,Pmaj,1,0,,,5.4,,1,0,,,11.2,9,1,1,0.6664,0.2252,0.8916,
5,T,58.73333333,-93.80472222,3,20,Toff,1,0,,,10.7,4.1,1,0,,,11.2,8,2,1,0.7645,1.1808,1.9453,
6,T,58.73277778,-93.79888889,1,0,Lvul,1,0,33,9,,,1,0,2.5,4,,,,0,0.0144,0.1318,0.1462,
6,T,58.73277778,-93.79888889,1,0,Pmaj,1,0,,,7.4,,0,1,,,,,,0,,,,
6,T,58.73277778,-93.79888889,1,0,Toff,1,0,,,8.4,3.2,0,1,,,,,,0,,,,
6,T,58.73277778,-93.79888889,2,20,Lvul,1,0,21.9,5.4,,,0,1,,,,,,0,,,,
6,T,58.73277778,-93.79888889,2,20,Pmaj,1,0,,,7.4,,1,0,,,6.6,6,,0,0.1097,0.1106,0.2203,biomass originally for Lvul
6,T,58.73277778,-93.79888889,2,20,Toff,1,0,,,6.2,3.2,1,0,,,4.2,6,,0,0.0515,0.1551,0.2066,
6,T,58.73277778,-93.79888889,3,5,Lvul,1,0,24.5,8,,,1,0,5.8,6,,,,0,0.0762,0.1045,0.1807,
6,T,58.73277778,-93.79888889,3,5,Pmaj,1,0,,,6.5,,1,0,,,6.4,3,1,1,0.1251,0.1671,0.2922,
6,T,58.73277778,-93.79888889,3,5,Toff,1,0,,,4.7,3.7,1,0,,,3.5,4,,0,0.0685,0.158,0.2265,
7,T,58.73222222,-93.79583333,1,5,Lvul,1,0,28.9,7.9,,,0,1,,,,,,0,,,,
7,T,58.73222222,-93.79583333,1,5,Pmaj,1,0,,,8.1,,1,0,,,7.5,4,,0,0.1891,0.2987,0.4878,
7,T,58.73222222,-93.79583333,1,5,Toff,1,0,,,9.6,2.6,0,1,,,,,,0,,,,
7,T,58.73222222,-93.79583333,2,0,Lvul,1,0,42.5,8,,,0,1,,,,,,0,,,,
7,T,58.73222222,-93.79583333,2,0,Pmaj,1,0,,,8.9,,1,0,,,3.9,3,,0,0.061,0.0739,0.1349,
7,T,58.73222222,-93.79583333,2,0,Toff,1,0,,,11.1,5.2,0,1,,,,,,0,,,,
7,T,58.73222222,-93.79583333,3,20,Lvul,1,0,36.7,9.1,,,1,0,12.2,10,,,,0,0.5955,0.5011,1.0966,
7,T,58.73222222,-93.79583333,3,20,Pmaj,1,0,,,6.7,,1,0,,,6.7,5,,0,0.2012,0.1287,0.3299,
7,T,58.73222222,-93.79583333,3,20,Toff,1,0,,,11.3,5.7,0,1,,,,,,0,,,,
8,T,58.73472222,-93.79055556,1,20,Lvul,1,0,39.8,5,,,1,0,7.8,9,,,,0,0.4961,0.2962,0.7923,
8,T,58.73472222,-93.79055556,1,20,Pmaj,1,0,,,9.7,,1,0,,,7.5,5,,0,0.2183,0.1375,0.3558,
8,T,58.73472222,-93.79055556,1,20,Toff,1,0,,,12.3,2.9,0,1,,,,,,0,,,,
8,T,58.73472222,-93.79055556,2,5,Lvul,1,0,32.5,5,,,1,0,3,2,,,,0,0.0234,0.0317,0.0551,
8,T,58.73472222,-93.79055556,2,5,Pmaj,1,0,,,7.2,,1,0,,,8.8,4,1,1,0.2945,0.1802,0.4747,
8,T,58.73472222,-93.79055556,2,5,Toff,1,0,,,7.3,4.3,1,0,,,2.3,3,,0,0.0106,0.0591,0.0697,
8,T,58.73472222,-93.79055556,3,0,Lvul,1,0,29.4,5,,,1,0,3.1,3,,,,0,0.1629,0.1817,0.3446,
8,T,58.73472222,-93.79055556,3,0,Pmaj,1,0,,,7.6,,1,0,,,6.9,6,1,1,0.0355,0.1471,0.1826,
8,T,58.73472222,-93.79055556,3,0,Toff,1,0,,,9.3,3.1,0,1,,,,,,0,,,,
9,B,58.70638889,-93.84194444,1,0,Lvul,1,0,11.3,2.7,,,0,1,,,,,,0,,,,
9,B,58.70638889,-93.84194444,1,0,Pmaj,1,0,,,8.2,,1,0,,,4.2,3,,0,0.0455,0.0657,0.1112,
9,B,58.70638889,-93.84194444,1,0,Toff,1,0,,,8.7,3.1,1,0,,,3.2,2,,0,0.0135,0.0693,0.0828,
9,B,58.70638889,-93.84194444,2,5,Lvul,1,0,18.8,7.3,,,1,0,6.4,3,,,,0,0.0838,0.1507,0.2345,
9,B,58.70638889,-93.84194444,2,5,Pmaj,1,0,,,6.1,,1,0,,,2.8,4,,0,0.0348,0.0776,0.1124,
9,B,58.70638889,-93.84194444,2,5,Toff,1,0,,,10.1,4.5,0,1,,,,,,0,,,,
9,B,58.70638889,-93.84194444,3,20,Lvul,1,0,24.7,5.7,,,0,1,,,,,,0,,,,
9,B,58.70638889,-93.84194444,3,20,Pmaj,1,0,,,7.3,,0,1,,,,,,0,,,,
9,B,58.70638889,-93.84194444,3,20,Toff,1,0,,,11.2,2.6,1,0,,,10.7,21,7,1,1.4032,2.1616,3.5648,
10,B,58.69888889,-93.84972222,1,20,Lvul,1,0,13.8,3.5,,,0,1,,,,,,0,,,,
10,B,58.69888889,-93.84972222,1,20,Pmaj,1,0,,,8.5,,1,0,,,9.3,4,,0,0.1929,0.1011,0.294,
10,B,58.69888889,-93.84972222,1,20,Toff,1,0,,,7.9,2.1,1,0,,,4.7,6,1,1,0.1634,0.0606,0.224,
10,B,58.69888889,-93.84972222,2,5,Lvul,1,0,8.7,8.3,,,0,1,,,,,,0,0.0308,0.0431,0.0739,
10,B,58.69888889,-93.84972222,2,5,Pmaj,1,0,,,8.3,,1,0,,,9.3,4,,0,0.1681,0.1193,0.2874,
10,B,58.69888889,-93.84972222,2,5,Toff,1,0,,,10.6,3.6,1,0,,,4.7,6,,0,0.2063,0.4354,0.6417,
10,B,58.69888889,-93.84972222,3,0,Lvul,1,0,7.6,3.9,,,1,0,2.8,1,,,,0,0.0082,0.0204,0.0286,
10,B,58.69888889,-93.84972222,3,0,Pmaj,1,0,,,8.7,,1,0,,,3.7,3,,0,0.0366,0.037,0.0736,
10,B,58.69888889,-93.84972222,3,0,Toff,1,0,,,11.4,5.5,1,0,,,3.1,4,,0,0.0539,0.0948,0.1487,
11,B,58.6975,-93.84916667,1,0,Lvul,1,0,18.2,5.5,,,1,0,2.3,8,,,,0,0.0418,0.1378,0.1796,
11,B,58.6975,-93.84916667,1,0,Pmaj,1,0,,,5.8,,0,1,,,,,,0,,,,
11,B,58.6975,-93.84916667,1,0,Toff,1,0,,,10.3,4,0,1,,,,,,0,,,,
11,B,58.6975,-93.84916667,2,20,Lvul,1,0,20.7,1.7,,,0,1,,,,,,0,,,,
11,B,58.6975,-93.84916667,2,20,Pmaj,1,0,,,6.8,,1,0,,,12.2,3,,0,0.2102,0.2079,0.4181,
11,B,58.6975,-93.84916667,2,20,Toff,1,0,,,9.4,3.2,1,0,,,9.3,3,,0,0.1458,0.2052,0.351,
11,B,58.6975,-93.84916667,3,5,Lvul,1,0,15.9,7,,,0,1,,,,,,0,,,,
11,B,58.6975,-93.84916667,3,5,Pmaj,1,0,,,6.3,,0,1,,,,,,0,,,,
11,B,58.6975,-93.84916667,3,5,Toff,1,0,,,9.2,4.4,1,0,,,3.7,3,,0,0.0301,0.1242,0.1543,
12,B,58.69527778,-93.85027778,1,5,Lvul,1,0,20.1,3.2,,,1,0,3.8,5,,,,0,0.0862,0.0946,0.1808,
12,B,58.69527778,-93.85027778,1,5,Pmaj,1,0,,,9.1,,1,0,,,7.1,5,,0,0.0733,0.2296,0.3029,
12,B,58.69527778,-93.85027778,1,5,Toff,1,0,,,7.5,7.9,0,1,,,,,,0,,,,
12,B,58.69527778,-93.85027778,2,0,Lvul,1,0,12.7,7.2,,,0,1,,,,,,0,,,,
12,B,58.69527778,-93.85027778,2,0,Pmaj,1,0,,,7.7,,1,0,,,5.3,4,,0,0.0678,0.1545,0.2223,
12,B,58.69527778,-93.85027778,2,0,Toff,1,0,,,9.2,4.9,1,0,,,2.7,4,,0,0.0692,0.1022,0.1714,
12,B,58.69527778,-93.85027778,3,20,Lvul,1,0,12.7,3.2,,,1,0,5.5,4,,,,0,0.0712,0.0754,0.1466,
12,B,58.69527778,-93.85027778,3,20,Pmaj,1,0,,,9.1,,1,0,,,4.7,3,1,1,0.2987,0.1861,0.4848,
12,B,58.69527778,-93.85027778,3,20,Toff,1,0,,,11.6,7.9,1,0,,,2.8,2,,0,0.3048,0.6532,0.958,
13,B,58.69055556,-93.85027778,1,0,Lvul,1,0,29,8.8,,,1,0,4.5,6,,,,0,0.1227,0.3398,0.4625,
13,B,58.69055556,-93.85027778,1,0,Pmaj,1,0,,,6.8,,1,0,,,4.7,3,,0,0.0745,0.1922,0.2667,
13,B,58.69055556,-93.85027778,1,0,Toff,1,0,,,7.2,4.4,1,0,,,2.8,2,,0,0.0092,0.0886,0.0978,
13,B,58.69055556,-93.85027778,2,20,Lvul,1,0,30.8,1.9,,,1,0,10.6,8,,,,0,0.7109,0.32,1.0309,
13,B,58.69055556,-93.85027778,2,20,Pmaj,1,0,,,11.2,,1,0,,,14.7,5,1,1,0.5133,0.8695,1.3828,
13,B,58.69055556,-93.85027778,2,20,Toff,1,0,,,10.7,1.2,1,0,,,9,2,2,1,0.2658,NA,NA,
13,B,58.69055556,-93.85027778,3,5,Lvul,1,0,31.1,2.1,,,1,0,6.8,16,,,,0,0.391,0.6149,1.0059,
13,B,58.69055556,-93.85027778,3,5,Pmaj,1,0,,,8.2,,0,1,,,,,,0,,,,
